ticker,matched_market_date,sentiment_mean,close,daily_return,article_count,ai_innovation,collaboration,leadership,regulation,litigation
MSFT,2023-11-07,0.32515,360.53,0.0112,2,1,0,1,0,0
MSFT,2023-11-10,0.3422,369.67,0.0249,1,0,1,0,0,0
MSFT,2023-11-16,0.4038,376.17,0.0176,1,1,0,0,0,0
MSFT,2023-11-20,0.24383333333333335,377.44,0.0205,3,2,1,0,0,0
MSFT,2023-11-21,0.46275,373.07,-0.0116,2,1,0,0,0,0
MSFT,2023-11-22,0.20902500000000002,377.85,0.0128,4,3,0,0,0,0
MSFT,2023-11-27,0.3566,378.61,0.0031,1,1,0,0,0,0
MSFT,2023-11-28,0.3209,382.7,0.0108,1,0,1,0,0,0
MSFT,2023-12-06,0.4011,368.8,-0.01,1,1,0,0,0,0
MSFT,2023-12-07,0.1012,370.95,0.0058,1,0,1,0,0,0
MSFT,2023-12-08,0.2557,374.23,0.0088,1,0,0,0,0,0
MSFT,2023-12-11,0.3756,371.3,-0.0078,1,1,0,0,0,0
MSFT,2023-12-15,0.3095,370.73,0.0131,1,1,0,0,0,0
MSFT,2023-12-20,0.3145,370.62,-0.0071,1,1,0,0,0,0
MSFT,2023-12-21,0.3999,373.54,0.0079,1,1,0,0,0,0
MSFT,2023-12-27,0.3495,374.07,-0.0016,1,0,1,0,0,0
MSFT,2024-01-05,0.21415,367.75,-0.0005,2,1,0,1,0,0
MSFT,2024-01-11,0.38425,384.63,0.0049,2,0,1,1,0,0
MSFT,2024-01-12,0.4,388.47,0.01,2,1,1,0,0,0
MSFT,2024-01-17,0.3809,389.47,-0.002,1,0,0,0,0,0
MSFT,2024-01-19,0.5375,398.67,0.0122,2,1,1,0,0,0
MSFT,2024-01-29,0.06764999999999999,409.72,0.0143,2,1,0,0,1,0
MSFT,2024-01-30,0.4364,408.59,-0.0028,1,0,1,0,0,0
MSFT,2024-02-08,0.3225,414.11,0.0001,1,1,0,0,0,0
MSFT,2024-02-13,0.4077,406.32,-0.0215,1,0,1,0,0,0
MSFT,2024-02-14,0.1122,409.49,0.0097,1,0,0,0,0,1
MSFT,2024-02-16,0.1097,404.06,-0.0061,1,0,0,1,0,0
MSFT,2024-02-20,0.3202,402.79,-0.0031,1,1,0,0,0,0
MSFT,2024-02-21,0.2783,402.18,-0.0015,1,1,0,0,0,0
MSFT,2024-02-22,0.4157,411.65,0.0235,1,0,0,1,0,0
MSFT,2024-02-23,0.36995,410.34,-0.0032,2,1,0,1,0,0
MSFT,2024-02-27,0.4412,407.48,-0.0001,1,0,0,1,0,0
MSFT,2024-02-28,0.37329999999999997,407.72,0.0006,2,1,0,0,1,0
MSFT,2024-03-05,0.3664,402.65,-0.0296,1,1,0,0,0,0
MSFT,2024-03-08,0.36650000000000005,406.22,-0.0071,2,1,0,0,0,0
MSFT,2024-03-11,0.3377,404.52,-0.0042,1,1,0,0,0,0
MSFT,2024-03-14,0.2788,425.22,0.0244,2,0,1,1,0,0
MSFT,2024-03-15,0.2519,416.42,-0.0207,1,1,0,0,0,0
MSFT,2024-03-18,0.8067,417.32,0.0022,1,1,0,0,0,0
MSFT,2024-03-19,0.42710000000000004,421.41,0.0098,2,1,1,0,0,0
MSFT,2024-03-20,0.22476666666666667,425.23,0.0091,3,0,1,1,0,1
MSFT,2024-03-21,0.252,429.37,0.0097,1,0,1,0,0,0
MSFT,2024-03-22,-0.1189,428.74,-0.0015,1,0,0,0,1,0
